1)
Procesos del usuario con el coamdno ps -fu mauriayllon

UID         PID   PPID  C STIME TTY          TIME CMD
root       3467      1  0 Feb12 ?        00:00:00 /usr/sbin/gdm3
root       3471   3467  0 Feb12 ?        00:00:00 gdm-session-worker [pam/gdm-launch-environment]
gdm        3480      1  0 Feb12 ?        00:00:00 /lib/systemd/systemd --user
gdm        3481   3480  0 Feb12 ?        00:00:00 (sd-pam)
gdm        3492   3471  0 Feb12 tty1     00:00:00 /usr/lib/gdm3/gdm-wayland-session gnome-session --autostart /usr/share/gdm/greeter/autostart
gdm        3494   3480  0 Feb12 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
gdm        3496   3492  0 Feb12 tty1     00:00:00 /usr/lib/gnome-session/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
gdm        3525   3480  0 Feb12 ?        00:00:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
gdm        3530   3496  0 Feb12 tty1     00:00:24 /usr/bin/gnome-shell
root       3537      1  0 Feb12 ?        00:00:00 /usr/lib/upower/upowerd
gdm        3556   3530  0 Feb12 tty1     00:06:41 /usr/bin/Xwayland :1024 -rootless -terminate -accessx -core -listen 4 -listen 5 -displayfd 6
gdm        3588   3480  0 Feb12 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
gdm        3593   3588  0 Feb12 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
gdm        3595   3480  0 Feb12 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
gdm        3601   3480  0 Feb12 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no
rtkit      3605      1  0 Feb12 ?        00:00:01 /usr/lib/rtkit/rtkit-daemon
root       3608      2  0 Feb12 ?        00:00:00 [loop3]
root       3672      2  0 Feb12 ?        00:00:00 [loop4]
gdm        3680   3530  0 Feb12 tty1     00:00:00 ibus-daemon --xim --panel disable
gdm        3685   3480  0 Feb12 ?        00:00:00 /usr/libexec/xdg-permission-store
gdm        3697   3680  0 Feb12 tty1     00:00:00 /usr/lib/ibus/ibus-dconf
gdm        3700      1  0 Feb12 tty1     00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
gdm        3702   3480  0 Feb12 ?        00:00:00 /usr/lib/ibus/ibus-portal
root       3714      1  0 Feb12 ?        00:00:00 /usr/lib/x86_64-linux-gnu/boltd
gdm        3718   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-xsettings
gdm        3721   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-a11y-settings
gdm        3722   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-clipboard
gdm        3725   3496  0 Feb12 tty1     00:00:13 /usr/lib/gnome-settings-daemon/gsd-color
gdm        3726   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-datetime
gdm        3727   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-housekeeping
gdm        3728   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-keyboard
gdm        3731   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-media-keys
gdm        3733   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-mouse
gdm        3734   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-power
gdm        3736   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-print-notifications
gdm        3737   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-rfkill
gdm        3739   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-screensaver-proxy
gdm        3741   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sharing
gdm        3746   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-smartcard
gdm        3748   3496  0 Feb12 tty1     00:00:00 /usr/lib/gnome-settings-daemon/gsd-sound
